#shift stepIter stepRayleigh eig(iter) eig(rayleigh)
779 1000 49 1.98273 2
780 1000 49 1.9827 2
781 1000 49 1.98266 2
782 1000 49 1.98263 2
783 1000 49 1.98259 2
784 1000 49 1.98256 2
785 1000 49 1.98252 2
786 1000 49 1.98249 2
787 1000 49 1.98245 2
788 1000 49 1.98242 2
789 1000 49 1.98238 2
790 1000 49 1.98235 2
791 1000 49 1.98232 2
792 1000 49 1.98228 2
793 1000 49 1.98225 2
794 1000 49 1.98221 2
795 1000 49 1.98218 2
796 1000 49 1.98214 2
797 1000 49 1.98211 2
798 1000 49 1.98208 2
799 1000 49 1.98204 2
800 1000 49 1.98201 2
801 1000 49 1.98197 2
802 1000 49 1.98194 2
803 1000 49 1.98191 2
804 1000 49 1.98187 2
805 1000 49 1.98184 2
806 1000 49 1.9818 2
807 1000 49 1.98177 2
808 1000 49 1.98174 2
809 1000 49 1.9817 2
810 1000 49 1.98167 2
811 1000 49 1.98163 2
812 1000 49 1.9816 2
813 1000 49 1.98157 2
814 1000 49 1.98153 2
815 1000 49 1.9815 2
816 1000 49 1.98147 2
817 1000 49 1.98143 2
818 1000 49 1.9814 2
819 1000 49 1.98136 2
820 1000 49 1.98133 2
821 1000 49 1.9813 2
822 1000 49 1.98126 2
823 1000 49 1.98123 2
824 1000 49 1.9812 2
825 1000 49 1.98116 2
826 1000 49 1.98113 2
827 1000 49 1.9811 2
828 1000 49 1.98106 2
829 1000 49 1.98103 2
830 1000 49 1.981 2
831 1000 49 1.98096 2
832 1000 49 1.98093 2
833 1000 49 1.9809 2
834 1000 49 1.98086 2
835 1000 49 1.98083 2
836 1000 49 1.9808 2
837 1000 49 1.98076 2
838 1000 49 1.98073 2
839 1000 49 1.9807 2
840 1000 49 1.98067 2
841 1000 49 1.98063 2
842 1000 49 1.9806 2
843 1000 49 1.98057 2
844 1000 49 1.98053 2
845 1000 49 1.9805 2
846 1000 49 1.98047 2
847 1000 49 1.98043 2
848 1000 49 1.9804 2
849 1000 49 1.98037 2
850 1000 49 1.98034 2
851 1000 49 1.9803 2
852 1000 49 1.98027 2
853 1000 49 1.98024 2
854 1000 49 1.98021 2
855 1000 49 1.98017 2
856 1000 49 1.98014 2
857 1000 49 1.98011 2
858 1000 49 1.98008 2
859 1000 49 1.98004 2
860 1000 49 1.98001 2
861 1000 49 1.97998 2
862 1000 49 1.97994 2
863 1000 49 1.97991 2
864 1000 49 1.97988 2
865 1000 49 1.97985 2
866 1000 49 1.97982 2
867 1000 49 1.97978 2
868 1000 49 1.97975 2
869 1000 49 1.97972 2
870 1000 49 1.97969 2
871 1000 49 1.97965 2
872 1000 49 1.97962 2
873 1000 49 1.97959 2
874 1000 49 1.97956 2
875 1000 49 1.97953 2
876 1000 49 1.97949 2
877 1000 49 1.97946 2
878 1000 49 1.97943 2
879 1000 49 1.9794 2
880 1000 49 1.97936 2
881 1000 49 1.97933 2
882 1000 49 1.9793 2
883 1000 49 1.97927 2
884 1000 49 1.97924 2
885 1000 50 1.97921 2
886 1000 50 1.97917 2
887 1000 50 1.97914 2
